question,answer
What are your working hours?,We work Monday to Friday from 9 AM to 6 PM.
Where are you located?,We are located in Patna Bihar India.
How can I contact support?,You can contact us through email or phone.
Do you provide internships?,Yes we provide internship opportunities.
What technologies do you use?,We use Python AI Machine Learning and Web Technologies.
What services do you offer?,We offer software development and AI solutions.
How can I apply?,You can apply through our official website.
What is your refund policy?,Refunds are processed according to company policy.
Do you provide certificates?,Yes certificates are provided after successful completion.
Can I work remotely?,Yes remote opportunities are available.